MatchAthleteID,RankDifference,HeadToHeadDifference,DifferenceDurationToDateVsOpponent,DifferenceDurationInLastYear,DifferenceDurationOnCourtThisTournament,DifferenceMatchesInLastYear,DifferenceTournamentsInLastYear,MatchResult
128_P1,13,0,-3566,-1517,,-33,-16,Lost
142_P1,11,0,-4695,-36,12,-4,5,Lost
168_P1,11,0,-7899,189,-3,3,1,Lost
183_P1,110,0,-6164,-1111,,-20,-11,Lost
192_P1,588,0,-731,-312,,-7,-6,Lost
195_P1,116,0,-503,-112,,-2,-1,Lost
201_P1,228,0,-638,-312,,-7,-6,Lost
223_P1,-15,0,-4004,-97,,1,0,Lost
303_P1,33,0,-5194,-1619,,-28,-9,Lost
348_P1,20,0,-5136,-409,,-8,-6,Lost
351_P1,495,0,-1090,-359,,-8,-3,Lost
359_P1,251,0,-672,-50,,-1,0,Lost
361_P1,-56,0,187,-22,,1,1,Lost
392_P1,17,0,-8104,-732,,-9,0,Lost
394_P1,55,0,471,136,,5,3,Lost
468_P1,-69,0,987,811,-63,16,5,Lost
484_P1,93,0,-118,-174,,-4,-3,Lost
492_P1,-4,0,114,171,,3,1,Lost
534_P1,60,0,-14983,-1480,,-25,-7,Lost
542_P1,53,0,1885,-25,,0,-1,Lost
558_P1,13,0,215,-690,-24,-15,0,Lost
560_P1,59,0,-1545,-511,24,-10,-3,Lost
561_P1,-11,0,-216,-76,34,-3,-1,Lost
565_P1,39,0,-5577,-417,1,-9,-5,Lost
567_P1,54,0,-6320,-342,,-9,-3,Lost
622_P1,951,0,-246,-246,,-6,-2,Lost
649_P1,94,0,-13807,-1057,,-16,-8,Lost
700_P1,21,0,7733,205,,4,2,Lost
706_P1,93,0,-2312,-158,,-1,2,Lost
748_P1,-4,0,3181,-90,8,-3,-2,Lost
773_P1,-2,0,6970,-8,3,0,0,Lost
795_P1,158,0,-1252,-796,83,-15,-11,Lost
801_P1,366,0,-650,-413,,-13,-11,Lost
806_P1,-150,0,25,75,,2,2,Lost
830_P1,30,0,-3789,-671,,-12,-3,Lost
860_P1,7,0,-1689,311,-2,4,6,Lost
882_P1,22,0,-2136,428,5,9,9,Lost
888_P1,9,0,-4696,-267,4,-7,4,Lost
907_P1,12,0,-3716,172,,1,7,Lost
909_P1,20,0,8986,-155,,-3,5,Lost
918_P1,12,0,-1055,-139,11,-2,-2,Lost
930_P1,35,0,-545,-295,,-8,-3,Lost
939_P1,37,0,-9843,-154,,-4,-1,Lost
978_P1,-45,0,631,1308,,25,5,Lost
1113_P1,28,0,-182,-654,-2,-14,-2,Lost
1145_P1,-13,0,-499,-39,,0,0,Lost
1171_P1,-16,0,-8208,-410,,-10,-5,Lost
1181_P1,-316,0,-237,-23,,-1,-1,Lost
1201_P1,40,0,-9634,-202,14,-5,-4,Lost
1223_P1,57,0,-596,-248,,-5,-1,Lost
1226_P1,-62,0,-485,-119,,-2,-1,Lost
1229_P1,5,0,278,-21,,-1,0,Lost
1268_P1,36,0,-2860,-708,-13,-14,-3,Lost
1270_P1,32,0,-2860,-1196,5,-28,-11,Lost
1273_P1,57,0,-11118,-1808,-3,-36,-11,Lost
1285_P1,-51,0,9666,859,,18,9,Lost
1294_P1,-151,0,77,-155,,-6,-5,Lost
1324_P1,61,0,2565,-392,64,-8,-4,Lost
1329_P1,77,0,0,-194,56,-2,0,Lost
1373_P1,40,0,-6361,-682,,-15,-1,Lost
1378_P1,149,0,-342,-170,,-4,-3,Lost
1424_P1,227,0,-1399,-1149,,-24,-7,Lost
1447_P1,42,0,-5219,-1108,88,-26,-12,Lost
1454_P1,-3,0,1970,521,,9,9,Lost
1486_P1,81,0,-3787,-985,-9,-21,-7,Lost
1550_P1,1081,0,-180,-139,27,-3,-2,Lost
1588_P1,764,0,-207,-166,,-4,-2,Lost
1602_P1,-9,0,-4839,-358,-148,-3,-2,Lost
1624_P1,163,0,-5673,-867,,-16,-8,Lost
1640_P1,237,0,-13202,-1692,47,-32,-10,Lost
1679_P1,210,0,-5723,-497,-6,-12,-6,Lost
1683_P1,153,0,-10317,-1149,-35,-24,-12,Lost
1694_P1,348,0,-7018,-1073,,-26,-9,Lost
1707_P1,727,0,-293,-95,,-2,-1,Lost
1715_P1,675,0,-258,53,,2,1,Lost
1720_P1,671,0,-28,,,,,Lost
1725_P1,288,0,-807,-226,,-5,-2,Lost
1727_P1,51,0,-1496,-868,,-18,-7,Lost
1728_P1,441,0,-2015,-766,,-17,-6,Lost
1750_P1,1821,0,-1377,-392,-8,-9,-6,Lost
1757_P1,195,0,-5494,-738,17,-14,-7,Lost
1770_P1,100,0,-214,-19,,1,0,Lost
1771_P1,-7,0,-175,32,,1,0,Lost
1772_P1,513,0,-2824,-850,,-17,-7,Lost
1779_P1,862,0,-4605,-1195,25,-20,-10,Lost
1780_P1,1049,0,,,,,,Lost
1781_P1,10,0,31,31,,1,1,Lost
1782_P1,-16,0,153,122,,3,3,Lost
1791_P1,-642,0,-717,-32,,-1,-1,Lost
1826_P1,65,0,-791,-961,,-19,-7,Lost
1829_P1,-9,0,-431,25,,2,0,Lost
1862_P1,28,0,1858,-284,80,-3,-2,Lost
1986_P1,26,0,-751,-110,4,-2,-2,Lost
1987_P1,233,0,-3339,-1230,-39,-30,-15,Lost
2007_P1,244,0,1006,-338,,-9,-6,Lost
2008_P1,57,0,223,-101,,-2,0,Lost
2017_P1,1024,0,-1154,-435,,-13,-9,Lost
2051_P1,523,0,-438,-260,-6,-6,-3,Lost
2057_P1,29,0,-200,-105,,-3,0,Lost
2063_P1,123,0,-2914,-685,,-15,-6,Lost
2067_P1,84,0,-6124,-1284,,-27,-12,Lost
2085_P1,1145,0,-640,-329,,-6,-4,Lost
2097_P1,251,0,-10192,-1709,31,-37,-12,Lost
2099_P1,39,0,-1956,-918,19,-21,-11,Lost
2219_P1,-14,0,4923,410,,7,3,Lost
2240_P1,244,0,-202,-696,-11,-15,-6,Lost
2244_P1,63,0,-8308,-1211,-16,-25,-8,Lost
2278_P1,184,0,-8048,-786,,-17,-7,Lost
2280_P1,1504,0,-4075,-596,69,-15,-6,Lost
2289_P1,-19,0,2032,-222,,-6,-2,Lost
2304_P1,180,0,-8993,-1585,,-34,-12,Lost
2322_P1,246,0,-9234,-820,52,-17,-4,Lost
2349_P1,218,0,-484,-407,,-8,-1,Lost
2453_P1,34,0,-7268,-550,,-13,-5,Lost
2468_P1,73,0,-2429,-617,,-12,-3,Lost
2513_P1,-36,0,562,159,,3,2,Lost
2518_P1,156,0,-2663,-1869,,-43,-11,Lost
2523_P1,-15,0,712,-55,,-1,1,Lost
2525_P1,32,0,-2612,-1214,,-28,-11,Lost
2533_P1,127,0,-8913,-1742,,-31,-18,Lost
2589_P1,206,0,-10154,-1133,41,-27,-16,Lost
2590_P1,118,0,-6656,-916,40,-20,-9,Lost
2591_P1,75,0,-8314,-1211,-8,-25,-9,Lost
2598_P1,110,0,-4575,-1559,28,-38,-13,Lost
2646_P1,-4,0,-384,-159,-5,-3,0,Lost
2656_P1,50,0,-7770,30,15,1,-1,Lost
2669_P1,199,0,74,-29,2,-1,-1,Lost
2685_P1,-196,0,35,-24,,1,0,Lost
2686_P1,1277,0,-2410,-916,22,-20,-9,Lost
2690_P1,406,0,-439,-277,,-6,-3,Lost
2719_P1,101,0,-7982,-1051,6,-20,-8,Lost
2742_P1,150,0,-689,-718,15,-16,-6,Lost
2769_P1,-39,0,41,41,,1,1,Lost
2776_P1,-232,0,,,,,,Lost
2811_P1,1338,0,-8766,-681,103,-16,-8,Lost
2839_P1,-366,0,122,28,,1,1,Lost
2846_P1,-66,0,,,,,,Lost
2848_P1,1030,0,,,,,,Lost
2850_P1,1340,0,,,,,,Lost
2852_P1,-87,0,-86,-86,,-3,-1,Lost
2884_P1,305,0,-962,-55,-55,-1,0,Lost
2886_P1,86,0,-6653,-793,-28,-17,-6,Lost
2896_P1,-109,0,-871,64,20,1,1,Lost
2904_P1,1220,0,-1272,-582,,-11,-6,Lost
2910_P1,240,0,-84,-285,,-6,-3,Lost
2926_P1,291,0,-395,-530,-35,-12,-3,Lost
2935_P1,211,0,-4584,-829,29,-19,-12,Lost
2949_P1,432,0,-724,-374,,-8,-3,Lost
2998_P1,139,0,-6794,-713,,-12,-9,Lost
3001_P1,-7,0,-594,-582,,-14,-4,Lost
3032_P1,-43,0,960,1327,,32,3,Lost
3034_P1,171,0,-2082,-804,,-18,-9,Lost
3060_P1,94,0,-375,-452,-4,-8,-4,Lost
3098_P1,241,0,-953,-126,,-3,-1,Lost
3104_P1,956,0,,,,,,Lost
3109_P1,122,0,-13,40,,2,2,Lost
3144_P1,2,0,1627,-339,,-5,1,Lost
3240_P1,74,0,2853,-32,,0,0,Lost
3252_P1,69,0,-32,-148,31,-4,-3,Lost
3257_P1,520,0,-26,-26,,-1,-1,Lost
3261_P1,-809,0,-99,26,,1,1,Lost
3262_P1,668,0,-90,26,,1,1,Lost
3273_P1,288,0,-1362,-475,,-9,-3,Lost
3355_P1,-55,0,751,669,,16,6,Lost
3366_P1,72,0,-1726,-744,11,-14,-2,Lost
3381_P1,1657,0,-5953,-1463,30,-32,-14,Lost
3395_P1,-137,0,152,367,,11,10,Lost
3401_P1,169,0,-2275,-1200,,-24,-8,Lost
3415_P1,557,0,-2626,-1742,77,-39,-13,Lost
3427_P1,644,0,-551,-61,,-2,-1,Lost
3439_P1,-56,0,,,,,,Lost
3472_P1,270,0,-286,-38,,-1,-1,Lost
3475_P1,596,0,-1368,-566,,-13,-6,Lost
3482_P1,276,0,-311,-148,,-3,-2,Lost
3490_P1,593,0,-5962,-416,,-10,-6,Lost
3518_P1,24,0,1281,-227,-4,-4,3,Lost
3538_P1,320,0,-196,-196,29,-4,0,Lost
3565_P1,-253,0,-124,-41,,-1,-1,Lost
3603_P1,239,0,-5562,-450,,-10,-6,Lost
3605_P1,214,0,-15,-14,,0,0,Lost
3622_P1,23,0,-4361,-580,,-5,-4,Lost
3629_P1,35,0,-9040,-1197,,-26,-4,Lost
3637_P1,158,0,-606,2,,3,7,Lost
3657_P1,-482,0,246,246,-45,5,3,Lost
3674_P1,165,0,-8228,-2242,-25,-39,-13,Lost
3688_P1,160,0,-2751,-776,,-16,-5,Lost
3851_P1,1042,0,-2875,-672,-29,-15,-9,Lost
3868_P1,174,0,-2259,-1148,,-24,-7,Lost
3876_P1,1264,0,-3640,-663,,-16,-6,Lost
3905_P1,146,0,-4211,-998,-6,-18,-11,Lost
3912_P1,98,0,-5191,-800,-6,-21,-9,Lost
3922_P1,-46,0,90,-40,,-1,-1,Lost
3923_P1,461,0,-1467,-110,,-3,-2,Lost
3979_P1,-4,0,-89,-269,,-4,-1,Lost
